normal,586.916
normal,568.306
normal,571.035
tool,505.894
tool,572.914
tool,492.746
tool,491.322
tool,501.107
tool,490.329
normal,680.46
normal,560.965
normal,575.958
tool,491.698
normal,585.876
normal,580.645
tool,507.309
tool,524.283
tool,491.971
normal,583.12
normal,556.146
tool,501.847
normal,560.63
normal,606.528
normal,717.812
normal,613.425
tool,501.106
tool,515.993
normal,564.634
tool,506.385
tool,520.567
tool,490.303
normal,565.63
normal,539.145
normal,608.213
normal,570.594
tool,507.338
tool,510.863
normal,608.629
normal,570.546
tool,499.902
normal,622.734
normal,597.392
normal,570.831
tool,494.659
normal,556.006
normal,570.77
tool,497.028
tool,504.887
tool,504.448
tool,498.475
normal,659.856
normal,573.546
normal,574.987
normal,585.735
tool,495.404
tool,494.801
tool,517.774
normal,642.055
tool,500.122
tool,496.843
tool,491.894
tool,549.532
tool,496.903
normal,648.049
tool,509.859
tool,498.948
normal,557.537
normal,598.198
normal,559.068
tool,494.62
tool,491.981
tool,496.732
normal,562.108
tool,500.965
normal,786.402
tool,493.549
normal,547.051
tool,490.035
normal,658.233
normal,575.033
tool,489.999
normal,585.438
tool,490.209
normal,631.212
tool,494.189
normal,575.583
tool,496.326
normal,566.507
normal,646.291
tool,509.589
normal,586.676
normal,628.86
normal,620.265
normal,552.055
normal,572.151
tool,492.691
tool,492.867
normal,556.75
tool,493.069
tool,497.746
tool,496.324
tool,494.342
tool,499.62
normal,574.863
normal,658.828
normal,588.159
normal,612.379
normal,599.298
normal,562.62
normal,557.888
tool,495.3
normal,576.653
normal,546.329
tool,490.741
normal,589.086
normal,626.516
tool,492.244
tool,505.138
tool,490.764
normal,599.757
normal,597.647
tool,495.751
tool,511.1
tool,506.194
normal,588.806
normal,549.427
normal,616.988
tool,503.203
normal,593.96
tool,493.978
normal,566.644
normal,583.212
tool,494.186
normal,674.348
tool,513.105
tool,504.627
tool,519.005
tool,519.287
normal,585.866
tool,519.842
tool,513.179
tool,499.714
normal,593.273
tool,489.435
normal,588.185
tool,496.102
normal,564.076
tool,503.921
tool,503.962
tool,494.804
normal,562.877
normal,630.594
normal,578.543
tool,488.842
tool,495.297
normal,596.18
normal,563.885
normal,552.474
normal,556.465
normal,719.221
normal,569.143
tool,502.71
tool,493.668
normal,556.132
normal,584.632
normal,575.684
tool,496.56
tool,501.238
normal,589.044
normal,659.674
tool,494.303
